wavelength_nm,intensity
304.2636,2.5063e-10
304.40054,2.4665e-10
304.53748,2.4788e-10
304.6744,2.4315e-10
304.81134,2.3804e-10
304.94827,2.4624e-10
305.08517,2.5066e-10
305.2221,2.5192e-10
305.359,2.5173e-10
305.49594,2.5002e-10
305.63287,2.4917e-10
305.76978,2.4727e-10
305.90668,2.4555e-10
306.04358,2.4374e-10
306.18048,2.4773e-10
306.3174,2.4866e-10
306.45428,2.4724e-10
306.5501,2.4503e-10
306.8247,2.4561e-10
307.0993,2.4526e-10
307.37387,2.44e-10
307.64847,2.4421e-10
307.92307,2.4405e-10
308.19766,2.428e-10
308.47223,2.4172e-10
308.74686,2.4121e-10
309.02142,2.3965e-10
309.29605,2.3761e-10
309.57065,2.328e-10
309.84528,2.3448e-10
310.11984,2.3738e-10
310.39447,2.374e-10
310.6691,2.3761e-10
310.9437,2.3765e-10
311.21832,2.3445e-10
311.49292,2.2846e-10
311.76755,2.2843e-10
312.04218,2.3062e-10
312.3168,2.3152e-10
312.59143,2.3135e-10
312.86603,2.3191e-10
313.1407,2.2713e-10
313.4153,2.2711e-10
313.68994,2.2831e-10
313.96457,2.2836e-10
314.2392,2.2832e-10
314.51385,2.2844e-10
314.7885,2.2439e-10
315.06317,2.2443e-10
315.3378,2.2689e-10
315.61246,2.2643e-10
315.8871,2.2476e-10
316.16174,2.2412e-10
316.4364,2.2007e-10
316.71106,2.2002e-10
316.98572,2.2208e-10
317.26038,2.2162e-10
317.53503,2.2247e-10
317.8097,2.2102e-10
318.08438,2.1959e-10
318.35904,2.1903e-10
318.63373,2.1392e-10
318.9084,2.1485e-10
319.18304,2.1643e-10
319.45773,2.1527e-10
319.7324,2.1286e-10
320.00708,2.0689e-10
320.28177,1.9716e-10
320.55646,2.0736e-10
320.83112,2.1118e-10
321.10583,2.1115e-10
321.38052,2.1039e-10
321.6552,2.101e-10
321.9299,2.0933e-10
322.2046,2.0955e-10
322.4793,2.0805e-10
322.75397,2.0873e-10
323.0287,2.0564e-10
323.3034,2.0423e-10
323.5781,2.0742e-10
